id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,event_duration_minutes,response_lag_minutes,ml_duration_minutes
FKID000000,unplanned,13.0400041,77.5180991,0.0,0.0,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",,vehicle_breakdown,False,2024-03-07 17:01:48.111000+00:00,,closed,yes,2024-03-07 19:35:47.871698+00:00,,,s m circle in coming  man track,lcv,FKN00GL0000,Tumkur Road,high,,,,2024-03-07 17:03:51.164032+00:00,,1,FKUSR00000,FKUSR00001,,,,Peenya,,FKKG000000,,,,,,,,,,,,-2.0508838666666667,153.99601163333332
FKID000001,unplanned,12.9218755,77.6451585,0.0,0.0,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",,vehicle_breakdown,False,2024-01-30 04:07:24.173000+00:00,,resolved,yes,2024-01-30 04:17:46.828979+00:00,,,Starting problem,heavy_vehicle,FKN00GL0001,ORR East 1,high,,,,2024-01-30 04:08:22.954979+00:00,,1,FKUSR00002,FKUSR00001,,,,HSR Layout,,FKKG000001,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",12.9218755,77.6451585,,,FKUSR00002,2024-01-30 04:17:46.828355+00:00,,,,10.37758925,-0.97969965,10.37759965
FKID000004,unplanned,12.95398,77.5852333,0.0,0.0,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",,vehicle_breakdown,False,2024-01-30 04:56:32.348000+00:00,,closed,yes,2024-01-30 05:35:17.339080+00:00,,,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,FKN00GL0002,Non-corridor,low,,,,2024-01-30 04:58:55.937662+00:00,,1,FKUSR00003,FKUSR00001,,,,Wilson Garden,,FKKG000002,,,,FKUSR00003,2024-01-30 05:35:17.338283+00:00,,,,,LalbaghMainGateJunc,38.74983805,-2.3931610333333335,38.74983805
FKID000005,unplanned,13.0664854,77.5998755,,,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",,accident,False,2023-11-28 03:07:27.292421+00:00,,closed,yes,2023-11-28 04:35:48.241160+00:00,,,,,,Non-corridor,low,,,,2023-11-28 03:08:23.242047+00:00,,1,FKUSR00005,FKUSR00001,FKUSR00005,FKUSR00006,,Hebbala,,,,,,,,,,Bengaluru North Corporation,North Zone 1,,,-0.9324937666666668,88.34914565000001
FKID000006,unplanned,12.9328703,77.4879814,0.0,0.0,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",,vehicle_breakdown,False,2024-01-30 07:26:26.739000+00:00,,closed,yes,2024-01-30 09:35:47.912868+00:00,,,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,FKN00GL0003,Non-corridor,low,,,,2024-01-30 07:28:18.053017+00:00,,1,FKUSR00007,FKUSR00001,,,,Kengeri,,FKKG000004,,,,,,,,,,,,-1.8552336166666668,129.3528978
FKID000009,unplanned,13.0373543,77.6540442,0.0,0.0,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",,vehicle_breakdown,False,2024-01-30 05:25:50.078000+00:00,,closed,yes,2024-01-30 07:35:47.963222+00:00,,,,lcv,FKN00GL0004,Non-corridor,low,,,,2024-01-30 05:26:53.362158+00:00,,1,FKUSR00010,FKUSR00001,,,,Hennuru,,FKKG000006,,,,,,,,,,,,-1.0547359666666667,129.9647537
FKID000011,unplanned,12.94457,77.5274017,0.0,0.0,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",,vehicle_breakdown,False,2024-01-30 05:21:06.975000+00:00,,closed,yes,2024-01-30 07:35:47.951007+00:00,,,,private_car,FKN00GL0005,ORR West 1,high,,,,2024-01-30 05:21:50.591304+00:00,,1,FKUSR00012,FKUSR00001,,,,Byatarayanapura,,FKKG000008,,,,,,,,,,MysoreRd-RingRdJunc(Nayandanahallii),,-0.7269384,134.68293345
FKID000012,unplanned,12.9995223,77.6827499,0.0,0.0,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",,water_logging,False,2024-03-07 18:00:05.020000+00:00,,active,yes,2024-03-07 19:34:17.374582+00:00,,,lorry undar pass woter logging trafick swol moment ph [PHONE],,,ORR East 2,high,,,,2024-03-07 18:00:57.261528+00:00,,1,FKUSR00011,FKUSR00001,,,,Mahadevapura,,FKKG000007,,,,,,,,,,,,-0.8706921333333334,94.20590969999999
FKID000014,unplanned,12.975285,77.6256902,0.0,0.0,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",,pot_holes,False,2024-03-07 19:26:15.604000+00:00,,active,yes,2024-03-07 19:32:11.890707+00:00,,,traffic slow moving and accident happening,,,Old Madras Road,high,,,,2024-03-07 19:28:21.681907+00:00,,1,FKUSR00014,FKUSR00001,,,,Halasur,,FKKG000010,,,,,,,,,,,,-2.10129845,5.938111783333333
FKID000015,unplanned,13.0633917,77.5933483,0.0,0.0,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",,others,False,2024-03-07 19:10:21.930000+00:00,,active,yes,2024-03-07 19:11:49.766858+00:00,,,ಟೈರ್ ಪಂಚರ್,,,Bellary Road 2,high,,,,2024-03-07 19:11:02.983156+00:00,,1,FKUSR00013,FKUSR00001,,,,Kodigehalli,,FKKG000009,,,,,,,,,,,,-0.6842192666666667,1.4639476333333334
